Fiscal Year,Provider Type,Site Name,Sponsor/Vendor,Geriatric Mental Health (GMH) Service Site,Site Type,DFTA ID,Site Address,Address Line 2,Borough,Zip Code,Community District,City Council District,X Coordinate,Y Coordinate,Latitude,Longitude,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
2023,Grandparents Resource Center,GRC - MAP - Boulevard Houses,Grandparents Resource Center,,Satellite,DFTA02,807 Schenck Avenue,#1F,Brooklyn,11207,305,42,1016570,179974,40.660605,-73.883508,3324292,3043550001,1110,BK0503
2023,Older Adult Center,Bergen Basin Penn Wortman Older Adult Center,Bergen Basin Community Development Corporation,,Main Site,C0806,895 Pennsylvania Avenue,,Brooklyn,11207,305,42,1015145,178282,40.655966,-73.888652,3324011,3043690001,1104,BK0503
2023,Older Adult Center,Bergen Basin Abe Stark Older Adult Center,Bergen Basin Community Development Corporation,Yes,Main Site,C0801,103-15 Farragut Road,,Brooklyn,11236,318,42,1012196,175984,40.649668,-73.89929,3229152,3081520201,1098,BK0503
2023,Naturally Occurring Retirement Community (NORC),SPRING CREEK NORC,"Spring Creek Senior Partners, Inc",,Main Site,N63,160 SCHROEDERS AVENUE,,Brooklyn,11239,305,42,1017657,175651,40.648735,-73.879612,3343606,3044520200,105801,BK0504
2023,Older Adult Center,Bergen Basin Vandalia Older Adult Center,Bergen Basin Community Development Corporation,Yes,Main Site,C0807,47 Vandalia Avenue,,Brooklyn,11239,305,42,1015673,176036,40.649799,-73.88676,3348859,3044310100,105804,BK0504
2023,Older Adult Center,JASA Starrett City Older Adult Center,The Jewish Association For Services For The Aged,Yes,Main Site,C8308,1540 Van Siclen Avenue,,Brooklyn,11239,305,42,1018212,175462,40.648214,-73.877613,3343608,3044520200,105801,BK0504
2023,Older Adult Center,Cypress Hills Adult Social Club,Cypress Hills-Fulton Street Senior Citizens Center Inc,,Affiliated,C2802,475 Fountain Avenue,,Brooklyn,11208,305,42,1019480,182777,40.668288,-73.873005,3337041,3042920061,1210,BK0505
2023,Older Adult Center,Teresa Moore OAC,"Fort Greene Council, Inc.",,Main Site,C3513,2702 Linden Boulevard,,Brooklyn,11208,305,42,1021835,183116,40.669208,-73.864514,3326995,3044880001,1214,BK0505
2023,Grandparents Resource Center,GRC - MAP - Red Hook Senior Center,Grandparents Resource Center,,Satellite,DFTA12,120 W 9th Street,,Brooklyn,11231,306,38,983706,185534,40.675925,-74.001961,3339412,3005380001,85,BK0601
2023,Older Adult Center,Eileen Dugan Senior Center,American Italian Coalition Of Organizations Inc,,Main Site,W1101,378 Court Street,,Brooklyn,11231,306,39,985251,187518,40.681371,-73.996391,3004823,3003510031,65,BK0601
2023,Older Adult Center,RAICES  Gowanus OAC Satellite,Spanish Speaking Elderly Council RAICES Inc,,Affiliated,C7208,420 Baltic Street,,Brooklyn,11217,306,33,987361,188347,40.683646,-73.988783,3336072,3004040001,71,BK0601
2023,Older Adult Center,Red Hook NSC,Spanish Speaking Elderly Council RAICES Inc,,Main Site,C7201,120 West 9th Street,,Brooklyn,11231,306,38,983706,185534,40.675925,-74.001961,3339412,3005380001,85,BK0601
