lottery_id,lottery_name,lottery_status,development_type,borough,postcode,address,neighborhood,lottery_start_date,lottery_end_date,unit_count,studio_units,1br_units,2br_units,3br_units,4br_units,ami_extremely_low,ami_very_low,ami_low,ami_moderate,ami_middle,ami_above,mobility_percent,vision_hearing_percent,community_board_percent,municipal_employee_percent,nycha_percent,senior_percent,latitude,longitude,reporting_construction_type,community_board,bbl,bin
7574,2351 Lorillard Place Apartments,Active,Rental,BX,10458,2351 Lorillard Pl,BX0603,2026-07-02,2026-07-24,18,,2,5,11,,,5,11,2,,,,,20,10,,,40.855368,-73.890166,Preservation,206,2030550033,2011695
7590,269 Van Cortlandt Avenue E,Active,Rental,BX,10467,269 Van Cortlandt Ave E,BX0703,2026-06-23,2026-07-16,6,2,1,,3,,,,6,,,,,,,,,,40.876657,-73.880389,New Construction,207,2033360008,2018040
7573,3060 3rd Avenue Apartments,Active,Rental,BX,10451,3060 3 AVENUE,BX0102,2026-06-04,2026-06-26,6,3,1,2,,,,,6,,,,,,,,,,40.820702,-73.912667,Preservation,201,2023640010,2001186
7527,786 Fairmount Place,Active,Rental,BX,10460,786 FAIRMOUNT PLACE,BX0602,2026-05-22,2026-06-15,2,,1,1,,,,,2,,,,,,,,,,40.842763,-73.889182,Preservation,206,2029540020,2010022
7543,PENINSULA 1221 & 1225 Spofford Avenue,Active,Rental,BX,10474,1221 Spofford Ave,BX0201,2026-05-09,2026-07-07,113,23,18,48,18,6,11,34,68,,,,,,,,,,40.813893,-73.890566,New Construction,202,,
7543,PENINSULA 1221 & 1225 Spofford Avenue,Active,Rental,BX,10474,1225 Spofford Ave,BX0201,2026-05-09,2026-07-07,190,47,74,32,37,,21,58,111,,,,,,,,,,40.813901,-73.890505,New Construction,202,,
7549,106 Fleet Place Apartments,Active,Rental,QN,,106 Fleet Place,,2026-06-29,2026-07-21,20,5,5,10,,,,,20,,,,,,,,,,,,New Construction,,,
7538,87-67 170th Street Apartments,Active,Rental,QN,11432,87-67 170th St,QN1201,2026-06-01,2026-06-23,8,1,6,,1,,,,8,,,,,,,,,,40.710623,-73.791752,New Construction,412,4098260049,4000000
7495,THE BARNETT,Active,Rental,QN,11104,50-25 Barnett Ave,QN0261,2026-04-09,2026-06-08,146,15,72,45,14,,18,36,92,,,,5,2,20,10,,,40.750171,-73.913174,Preservation,402,4001190143,4000000
7554,The Doria,Active,Rental,QN,11101,34-16 38 Street,QN0103,2026-05-18,2026-06-09,23,,9,14,,,,8,15,,,,,,,,,,40.756649,-73.921998,New Construction,401,,
6821,1026 Third Avenue Apartments,Tenant Selection,Rental,MN,10065,1026 3rd Ave,MN0802,2025-03-17,2025-05-16,27,12,11,4,,,,11,11,,5,,5,2,20,5,,,40.762668,-73.965786,New Construction,108,1013950039,1000000
7438,107 Mott Street Apartments,Tenant Selection,Rental,MN,10013,107 Mott St,MN0201,2026-02-19,2026-03-12,3,,3,,,,,,1,,2,,,,,,,,40.717418,-73.997399,New Construction,102,1002050025,1091657
4993,160 Madison Avenue Waiting List,Tenant Selection,Rental,MN,10016,160 MADISON AVENUE,MN0501,2024-10-07,2024-11-06,64,15,41,8,,,,64,,,,,,,,,,,40.746769,-73.983698,New Construction,105,1008627504,1017014
4349,1638 Park Avenue Apartments,Tenant Selection,Rental,MN,10029,1638 Park Ave,MN1102,2024-02-26,2024-03-18,6,2,2,2,,,,3,3,,,,5,2,50,5,,,40.799208,-73.94332,New Construction,111,1016220033,1000000
7113,185 Chrystie Street Apartments,Tenant Selection,Rental,MN,10002,183-185 Chrystie St,MN0302,2025-06-26,2025-07-28,11,,4,7,,,,4,7,,,,5,2,20,5,,,40.721548,-73.992096,New Construction,103,1004260035,1000000
4444,21 West End - Waiting List,Tenant Selection,Rental,MN,10023,21 WEST END AVENUE,MN0701,2024-01-12,2024-02-12,127,36,63,23,5,,,127,,,,,5,2,,,,,40.772463,-73.989844,New Construction,107,1011717510,1088870
4387,221 West 29th Street Waitlist,Tenant Selection,Rental,MN,10001,221 WEST 29 STREET,MN0501,2024-01-03,2024-02-05,25,6,16,3,,,,10,10,,5,,,,,,,,40.748214,-73.993735,New Construction,105,1007790027,1090618
6801,25 Water Street Apartments,Tenant Selection,Rental,MN,10004,25 WATER STREET,MN0101,2025-03-05,2025-05-05,330,238,73,12,7,,,66,4,260,,,,,,,,,40.703026,-74.011202,New Construction,101,1000050010,1000007
5365,250 East 83rd Street Apartments,Tenant Selection,Rental,MN,10028,250 E 83rd St,MN0803,2024-12-11,2025-02-10,33,8,8,17,,,,13,13,,7,,5,2,20,5,,,40.776382,-73.954276,New Construction,108,1015280028,1091807
7235,250 West 49th Street Apartments,Tenant Selection,Rental,MN,10019,250 W 49th St,MN0502,2025-09-02,2025-11-03,42,10,11,21,,,,,14,,28,,,,,,,,40.761193,-73.985478,New Construction,105,1010200059,1000000
4372,266 West 96th Street Apartments,Tenant Selection,Rental,MN,10025,266 W 96th St,MN0702,2023-12-15,2024-02-16,52,27,12,11,2,,,,19,,33,,5,2,50,5,,,40.794953,-73.972523,New Construction,107,1012437503,1091038
7092,300 East 50th Street Apartments,Tenant Selection,Rental,MN,10022,300 E 50th St,MN0604,2025-06-19,2025-08-21,59,16,32,10,1,,,,20,,39,,5,2,20,5,,,40.75472,-73.968172,New Construction,106,1013420051,1000000
3546,30th and 11th Apartments,Tenant Selection,Rental,MN,10001,606 WEST 30 STREET,MN0401,2023-04-26,2023-06-26,70,24,31,15,,,,31,25,14,,,5,2,50,5,,,40.753484,-74.004371,New Construction,104,1006750039,1012275
4405,312 West 43rd Street Apartments,Tenant Selection,Rental,MN,10036,312 W 43rd St,MN0402,2024-02-20,2024-04-22,83,10,60,13,,,,33,33,17,,,5,2,50,5,,,40.758182,-73.989973,New Construction,104,1010337501,1024945
7284,313 East 17th Street Apartments,Tenant Selection,Rental,MN,10003,313 EAST 17 STREET,MN0602,2025-10-16,2025-12-15,22,1,10,11,,,,5,10,7,,,,,,,,,40.734047,-73.983034,New Construction,106,1009230011,1020430
7131,335 8th Avenue Apartments,Tenant Selection,Rental,MN,10001,335 8 AVENUE,MN0401,2025-06-26,2025-08-26,57,18,31,8,,,,,19,,38,,,,,,,,40.747563,-73.996849,Preservation,104,1007510020,1000000
4741,339 West 38TH Street Apartments,Tenant Selection,Rental,MN,10018,341 WEST 38 STREET,MN0402,2024-06-20,2024-08-19,30,15,12,3,,,,12,12,,6,,5,2,20,5,,,40.755237,-73.992864,New Construction,104,1007620011,1013637
7314,37th and 1st Apartments,Tenant Selection,Rental,MN,10016,650 1 AVENUE,MN0603,2025-12-16,2026-02-18,28,10,14,4,,,,6,10,12,,,,,,,,,40.745817,-73.972016,New Construction,106,1009690001,1022547
4461,42 West 33rd Street Waiting List,Tenant Selection,Rental,MN,10001,42 WEST 33 STREET,MN0501,2024-01-19,2024-02-20,45,14,26,5,,,,,45,,,,,,,,,,40.748606,-73.987061,New Construction,105,1008340069,1015855
3170,435 West 31st Street Waiting List,Tenant Selection,Rental,MN,10001,435 WEST 31 STREET,MN0401,2022-09-12,2022-10-17,170,53,90,25,2,,,86,83,1,,,5,2,,,,,40.752032,-73.998957,New Construction,104,1007297502,1089664
4574,451 Tenth Avenue Apartments,Tenant Selection,Rental,MN,10018,451 10 AVENUE,MN0401,2024-04-08,2024-06-10,135,64,60,11,,,,54,54,27,,,,,,,,,40.755303,-73.998636,New Construction,104,1007077501,1091604
2973,524 East 14th Street Waiting List,Tenant Selection,Rental,MN,10009,524 EAST 14 STREET,MN0303,2022-06-17,2022-08-01,50,12,13,25,,,,,17,,33,,,,,,,,40.72983,-73.978954,New Construction,103,1004077504,1090264
5421,525 W 52nd Street - Waiting List,Tenant Selection,Rental,MN,10019,525 WEST 52 STREET,MN0402,2024-12-02,2025-01-03,79,19,39,21,,,,,79,,,,5,2,,,,,40.766521,-73.992253,New Construction,104,1010817501,1090143
7080,55 Broad Street Apartments,Tenant Selection,Rental,MN,10004,55 BROAD STREET,MN0101,2025-06-04,2025-08-04,143,70,63,9,1,,,29,76,38,,,,,,,,,40.705189,-74.011505,New Construction,101,1000250001,1000821
5064,550 10th Avenue Apartments,Tenant Selection,Rental,MN,10018,550 10 AVENUE,MN0402,2024-08-09,2024-10-09,114,42,44,28,,,,,24,,90,,5,2,20,5,,,40.758743,-73.996105,New Construction,104,1010507502,1076207
7212,554 West 46th Street Apartments,Tenant Selection,Rental,MN,10036,554 W 46th St,MN0402,2025-08-25,2025-09-16,12,3,3,6,,,,,12,,,,,,,,,,40.762948,-73.995459,New Construction,104,1010740063,1000000
3198,555 Tenth Avenue - Waiting List,Tenant Selection,Rental,MN,10018,555 10 AVENUE,MN0401,2022-09-27,2022-10-27,150,25,83,37,5,,,60,60,30,,,5,2,,,,,40.758861,-73.996044,New Construction,104,1010697501,1089722
7021,555 West 45th Street Apartments,Tenant Selection,Rental,MN,10036,555 W 45th St,MN0402,2025-04-28,2025-05-19,12,3,3,6,,,,,12,,,,,,,,,,40.762349,-73.995946,New Construction,104,1010740063,1000000
7178,570 Washington Street Senior Apartments,Tenant Selection,Rental,MN,10014,570 WASHINGTON STREET,MN0203,2025-08-26,2025-10-27,122,57,40,25,,,,122,,,,,5,2,,,,,40.729212,-74.009316,New Construction,102,1005967502,1091654
3352,60 Fulton Street Apartments - Waiting list,Tenant Selection,Rental,MN,10038,56 FULTON STREET,MN0101,2022-12-23,2023-01-23,30,9,10,11,,,,12,12,,6,,5,2,,,,,40.7085,-74.004916,New Construction,101,1000760006,1090416
3081,605 West 42nd Street Apartments - Waiting List,Tenant Selection,Rental,MN,10036,605 WEST 42 STREET,MN0402,2023-08-24,2023-09-25,295,102,143,50,,,,120,116,59,,,2,2,,,,,40.76096,-73.998617,New Construction,104,1010907502,1089438
4709,606 West 57th Street - Waiting List,Tenant Selection,Rental,MN,10019,606 WEST 57 STREET,MN0402,2024-07-11,2024-08-12,258,55,109,86,8,,,103,103,52,,,5,2,,,,,40.770531,-73.991945,New Construction,104,1011040031,1090190
7278,622 11th Avenue Apartments,Tenant Selection,Rental,MN,10036,622 11th Ave,MN0402,2025-11-26,2026-01-26,22,4,5,13,,,,,22,,,,5,2,20,10,,,40.76317,-73.996596,New Construction,104,1010740063,1000000
4586,645 East 9th Street Apartments,Tenant Selection,Rental,MN,10009,645 E 9th St,MN0303,2024-03-07,2024-04-19,3,,2,1,,,,,1,,2,,,,,,,,40.725754,-73.979064,New Construction,103,1003920040,1091060
7488,74 West 126th Street Apartments,Tenant Selection,Rental,MN,10027,74 WEST 126 STREET,MN1001,2026-03-30,2026-04-20,5,5,,,,,,1,2,2,,,,,,,,,40.807978,-73.943897,New Construction,110,1017230065,1053526
4761,83rd and 2nd Apartments,Tenant Selection,Rental,MN,10028,300 E 83rd St,MN0803,2024-07-31,2024-09-30,28,7,7,14,,,,,7,,21,,5,2,20,5,,,40.775767,-73.952817,New Construction,108,1015450049,1000000
3826,88 East 127th Street Apartments,Tenant Selection,Rental,MN,10035,88 E 127th St,MN1102,2023-08-10,2023-10-09,40,15,9,16,,,,32,,,8,,5,2,50,5,,,40.806581,-73.93865,New Construction,111,1017517501,1091567
4932,ATTORNEY STREET APARTMENTS,Tenant Selection,Rental,MN,10002,165 Broome St,MN0302,2024-06-28,2024-08-28,196,23,87,64,22,,34,46,116,,,,5,2,20,5,,,40.71672,-73.985646,New Construction,103,1003417501,1090663
4817,Amana NYC,Tenant Selection,Rental,MN,10034,112 Seaman Ave,MN1203,2024-06-04,2024-06-25,8,1,6,1,,,,,3,,5,,,,,,,,40.868509,-73.92395,New Construction,112,1022480112,1091578
3370,American Copper - Waiting List,Tenant Selection,Rental,MN,10016,626 1 AVENUE,MN0603,2022-12-23,2023-01-23,160,43,66,41,10,,,,160,,,,2,3,,,,,40.744898,-73.972688,New Construction,106,1009670001,1089237
7469,Aria Platt 7,Tenant Selection,Rental,MN,10038,7-13 Platt St,MN0101,2026-04-07,2026-06-08,75,40,22,13,,,,,25,,50,,,,,,,,40.707641,-74.006528,New Construction,101,1000690053,1000000
4167,Emerald Green - Waiting List,Tenant Selection,Rental,MN,10018,320 WEST 38 STREET,MN0401,2023-12-06,2024-01-12,120,21,67,32,,,,120,,,,,,,,,,,40.755053,-73.992467,New Construction,104,1007610043,1087840
3855,Enclave at The Cathedral Waitlist,Tenant Selection,Rental,MN,10025,400 WEST 113 STREET,MN0901,2023-08-18,2023-09-18,87,24,43,20,,,,,87,,,,,,,,,,40.804117,-73.960646,New Construction,109,1018650020,1089808
7456,Forte Living,Tenant Selection,Rental,MN,10029,205 E 110th St,MN1102,2026-02-26,2026-04-27,53,1,27,25,,,,21,21,,11,,5,2,20,10,,,40.793971,-73.942403,New Construction,111,1016607503,1000000
7175,Inwood Living,Tenant Selection,Rental,MN,10034,3880 9 AVENUE,MN1203,2025-08-06,2025-10-06,70,17,18,35,,,,28,28,12,2,,5,2,20,5,,,40.864118,-73.916764,New Construction,112,1021890060,1091848
2244,KB25 - Waiting List,Tenant Selection,Rental,MN,10010,325 EAST 25 STREET,MN0603,2021-08-24,2021-09-24,55,10,18,27,,,,,22,11,22,,,,,,,,40.738855,-73.979204,New Construction,106,1009310017,1090206
7474,Las Raices Apartments,Tenant Selection,Rental,MN,10035,338 E 117th St,MN1102,2026-04-14,2026-06-16,6,1,3,,2,,,4,2,,,,5,2,20,10,,,40.797165,-73.93608,New Construction,111,1016880034,1000000
7474,Las Raices Apartments,Tenant Selection,Rental,MN,10035,1761 Park Ave,MN1102,2026-04-14,2026-06-16,38,7,19,12,,,,21,17,,,,5,2,20,10,,,40.803258,-73.940329,New Construction,111,1017710001,1000000
7474,Las Raices Apartments,Tenant Selection,Rental,MN,10035,505 E 118th St,MN1102,2026-04-14,2026-06-16,16,4,5,4,3,,,8,8,,,,5,2,20,10,,,40.796284,-73.932007,New Construction,111,1018150006,1000000
7474,Las Raices Apartments,Tenant Selection,Rental,MN,10029,303 EAST 102 STREET,MN1101,2026-04-14,2026-06-16,5,3,,2,,,,4,1,,,,5,2,20,10,,,40.788016,-73.944199,New Construction,111,1016740104,1091726
5734,Maison 78 AKA 356 East 78th Street Apartments,Tenant Selection,Rental,MN,10075,1487 1st Ave.,MN0801,2025-02-12,2025-04-14,45,8,14,23,,,,,15,,30,,,,,,,,40.771378,-73.953405,New Construction,108,1014520027,1000000
6873,Miramar aka West 206th Street Apartments,Tenant Selection,Rental,MN,10034,407 WEST 206 STREET,MN1203,2025-04-02,2025-06-02,191,19,112,56,4,,,74,117,,,,5,2,20,5,,,40.863178,-73.917911,New Construction,112,1022030009,1091692
6873,Miramar aka West 206th Street Apartments,Tenant Selection,Rental,MN,10034,405 WEST 206 STREET,MN1203,2025-04-02,2025-06-02,90,11,53,24,2,,,34,56,,,,5,2,20,5,,,40.863167,-73.917886,New Construction,112,1022030021,1091691
7416,Morningside ANCP,Tenant Selection,Owner,MN,10026,321 WEST  116 STREET,MN1001,2026-02-12,2026-04-13,9,,,1,8,,,,9,,,,,,,,,,40.804698,-73.956004,Preservation,110,1019430018,1059012
7416,Morningside ANCP,Tenant Selection,Owner,MN,10026,357 WEST 115 STREET,MN1001,2026-02-12,2026-04-13,10,,,6,4,,,,10,,,,,,,,,,40.804481,-73.957623,Preservation,110,1018490027,1055870
5482,NORTH COVE APARTMENTS,Tenant Selection,Rental,MN,10034,375 WEST  207 STREET,MN1203,2024-12-11,2025-02-11,484,118,224,142,,,61,122,152,149,,,5,2,20,5,,,40.863599,-73.916537,Preservation,112,1021880001,1089192
7540,One Waterline Square - Waiting List,Tenant Selection,Rental,MN,10019,675 WEST   59 STREET,MN0701,2026-05-20,2026-06-11,64,11,10,41,2,,,,64,,,,,,,,,,40.772537,-73.992613,Preservation,107,1011717512,1089741
2943,Park 79 Apartments,Tenant Selection,Rental,MN,10024,117 WEST 79 STREET,MN0702,2022-06-03,2022-08-05,53,53,,,,,,53,,,,,5,2,,,,100,40.782276,-73.976229,New Construction,107,1012100026,1031763
5392,Ray Harlem,Tenant Selection,Rental,MN,10035,2035 5th Ave,MN1102,2024-12-02,2025-02-03,58,24,27,7,,,,23,23,,12,,5,2,20,5,,,40.806868,-73.941922,New Construction,111,1017500001,1000000
5050,Riverton Square Waiting List,Tenant Selection,Rental,MN,10037,2156 MADISON AVENUE,MN1102,2024-11-04,2024-12-06,53,,17,36,,,,,53,,,,,,,,,,40.812626,-73.935884,Preservation,111,1017600001,1081105
7298,The Andrea,Tenant Selection,Rental,MN,10001,280 8th Ave,MN0401,2025-11-13,2026-01-13,28,11,12,5,,,,11,11,,6,,,,,,,,40.746043,-73.997928,New Construction,104,1007740001,1000000
7286,The East,Tenant Selection,Rental,MN,10009,644 EAST 14 STREET,MN0303,2025-10-16,2025-12-16,60,23,24,13,,,,,20,,40,,,,,,25,,40.728628,-73.976126,New Construction,103,1003960029,1004945
6842,The Houston aka 280 East Houston Street,Tenant Selection,Rental,MN,10002,280 EAST HOUSTON STREET,MN0303,2025-03-26,2025-05-27,40,18,14,8,,,,16,16,,8,,5,2,20,5,,,40.721627,-73.984307,New Construction,103,1003977503,1004960
7372,The Lotus,Tenant Selection,Rental,MN,10016,255 E 39th St,MN0603,2026-01-26,2026-03-30,48,2,39,7,,,,,16,,32,,5,2,20,10,,,40.748247,-73.974347,New Construction,106,,
4505,The MiMa - Waiting List,Tenant Selection,Rental,MN,10036,450 WEST 42 STREET,MN0402,2024-02-29,2024-04-01,161,86,52,23,,,,140,21,,,,,,,,,,40.759184,-73.994448,New Construction,104,1010517502,1088437
5527,The Smile - Waiting List,Tenant Selection,Rental,MN,10035,158 EAST  126 STREET,MN1102,2025-01-28,2025-02-28,70,21,42,7,,,,,47,,23,,,,,,,,40.804778999999996,-73.936315,Preservation,111,1017747501,1090966
7369,The Sophia Apartments,Tenant Selection,Rental,MN,10034,5055 BROADWAY,MN1203,2026-01-05,2026-01-27,13,,10,3,,,,6,6,,1,,5,2,20,10,,,40.870136,-73.915516,New Construction,112,1022430255,1090922
2322,The Victoria Tower Residences,Tenant Selection,Rental,MN,10027,230 WEST 126 STREET,MN1001,2021-11-08,2022-01-10,102,10,41,51,,,,42,22,,38,,5,2,,,,,40.810094,-73.948931,New Construction,110,1019317501,1058657
5339,Tryon North,Tenant Selection,Rental,MN,10034,4778 Broadway,MN1203,2024-12-02,2025-02-03,23,5,10,8,,,,9,9,3,2,,5,2,20,5,,,40.865818,-73.926444,New Construction,112,0000000000,1091659
7537,Two Waterline Square at 400 West 61st Street - Waiting List,Tenant Selection,Rental,MN,10001,400 WEST 31 STREET,MN0401,2026-05-18,2026-06-09,156,33,31,92,,,,,156,,,,5,2,,,,,40.751488,-73.997708,New Construction,104,1007287501,1012833
5182,VICTORY PLAZA Senior - Waiting List,Tenant Selection,Rental,MN,10026,11 WEST  118 STREET,MN1001,2024-08-21,2024-09-19,79,78,1,,,,,79,,,,,5,2,,,,100,40.802418,-73.946542,Preservation,110,1017170028,1090710
3986,Virginia House Senior Residences,Tenant Selection,Rental,MN,10029,124 EAST 112 STREET,MN1101,2023-09-15,2023-10-19,33,32,1,,,,,33,,,,,5,2,,,,100,40.79631,-73.944059,New Construction,111,1016390062,1052223
4592,1 Park Point,Tenant Selection,Rental,BK,11218,11 Ocean Pkwy,BK0701,2024-04-04,2024-06-04,95,,67,28,,,,38,38,19,,,5,2,50,5,,,40.650632,-73.973191,New Construction,307,3053220010,3429422
6813,1 Putnam Avenue Apartments,Tenant Selection,Rental,BK,11238,1 Putnam Ave,BK0204,2025-07-15,2025-08-05,13,,10,3,,,,,8,,5,,5,2,20,5,,,40.682649,-73.962135,New Construction,302,3019810001,3000000
4295,1042 President Street,Tenant Selection,Rental,BK,11225,1042 President St,BK0901,2023-12-05,2023-12-26,18,4,7,7,,,,,18,,,,5,2,50,5,,100,40.668572,-73.95701,New Construction,309,3012800029,3428914
