"lottery_id","lottery_name","development_type","reporting_construction_type","unit_count","hpd_building_id","hc_building_id","house_number","street_name","borough","unit_distribution_studio","unit_distribution_1bed","unit_distribution_2bed","unit_distribution_3bed","unit_distribution_4bed","applied_income_ami_ext_low","applied_income_ami_very_low","applied_income_ami_low","applied_income_ami_moderate","applied_income_ami_middle","applied_income_ami_above","address_zipcode","address_latitude","address_longitude","address_communitydistrict","address_citycouncildistrict","address_buildingidentificationnumber","address_bbl","address_censustrack2020","address_nta2020"
"2066","2494 Amsterdam Avenue Apartment","Rental","New Construction","3","953604","3538","2494","AMSTERDAM AVENUE","MN","1","2",,,,,,"3",,,,"10033","40.849712","-73.929773","112","10","1090762","1021550089","269","MN1202"
"4077","703 West 171st street Apartments","Rental","New Construction","3","891566","6343","703","WEST 171 STREET","MN",,"2","1",,,,,"3",,,,"10032","40.844146","-73.941351","112","10","1089587","1021390199","255","MN1201"
"7543","PENINSULA 1221 & 1225 Spofford Avenue","Rental","New Construction","113","0","7994","1221","Spofford Ave","BX","23","18","48","18","6","11","34","68",,,,"10474","40.813893","-73.890566","202","17",,,"9301","BX0201"
"7498","The Rowan","Rental","New Construction","9","108616","7969","3870","SEDGWICK AVENUE","BX",,"6","3",,,,,"9",,,,"10463","40.882992","-73.894373","208","11","2015232","2032460073","409","BX0702"
"2585","874 Willoughby Avenue Apartments","Rental","New Construction","28","949245","4039","874","WILLOUGHBY AVENUE","BK",,"18","10",,,,,"19",,"9",,"11221","40.695665","-73.93357","303","36","3423327","3015930023","287","BK0302"
"1876","Gloria Bleecker - Units Still Available","Rental","New Construction","6","994051","3424","387","BLEECKER STREET","BK",,"3","3",,,,,,,"6",,"11237","40.702232","-73.914236","304","37","3075549","3033020042","441","BK0401"
"2602","2203 Clarendon Road Apartments","Rental","New Construction","7","1002744","4242","2203","Clarendon Rd","BK",,"1","5","1",,,,,,"7",,"11226","40.642787","-73.956273","314","40","3425803","3051660051","79201","BK1401"
"2276","1755 WATSON AVE LLC","Rental","New Construction","283","984306","3801","1755","WATSON AVENUE","BX","74","117","71","21",,"33","81","75","94",,,"10472","40.827537","-73.867455","209","18","2024208","2037517501","70","BX0901"
"7492","West Harlem Renaissance","Rental","Preservation","21","0","7964","103-109","W 141st St","MN",,"3",,"18",,,"6","15",,,,"10030","40.818117","-73.938574","110","09","1060089","1020100024","230","MN1002"
"7516","50 Commercial Street Apartments","Rental","New Construction","10","0","7996","50","Commercial St","BK",,"5","5",,,,,"6",,"4",,"11222","40.736826","-73.957485","301","33","3000000","3024820001","56302","BK0101"
