lottery_id,lottery_name,lottery_status,address,borough,postcode,deadline,unit_type,ami_tier,income_range_min,income_range_max,date_applied,application_status,documents_submitted,eligibility_interview_date,notes
6821,1026 Third Avenue Apartments,Tenant Selection,1026 3rd Ave,Manhattan,10065,2025-05-16,Studio/1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
7021,555 West 45th Street Apartments,Tenant Selection,555 W 45th St,Manhattan,10036,2025-05-19,Studio/1BR/2BR,LI,76351,122160,,Not Applied,,,
6842,The Houston aka 280 East Houston Street,Tenant Selection,280 EAST HOUSTON STREET,Manhattan,10002,2025-05-27,Studio/1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
6873,Miramar aka West 206th Street Apartments,Tenant Selection,407 WEST 206 STREET,Manhattan,10034,2025-06-02,Studio/1BR/2BR/3BR,VLI/LI,35641,122160,,Not Applied,,,
6873,Miramar aka West 206th Street Apartments,Tenant Selection,405 WEST 206 STREET,Manhattan,10034,2025-06-02,Studio/1BR/2BR/3BR,VLI/LI,35641,122160,,Not Applied,,,
7028,Bushwick Alliance,Tenant Selection,272 Jefferson St,Brooklyn,11237,2025-06-11,2BR,VLI/LI,35641,122160,,Not Applied,,,
7028,Bushwick Alliance,Tenant Selection,332 ELDERT STREET,Brooklyn,11237,2025-06-11,1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
7028,Bushwick Alliance,Tenant Selection,63 STOCKHOLM STREET,Brooklyn,11221,2025-06-11,Studio/1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
7052,The Hart,Tenant Selection,1038 Broadway,Brooklyn,11221,2025-06-27,Studio/1BR,LI/Mod,76351,183240,,Not Applied,,,
7113,185 Chrystie Street Apartments,Tenant Selection,183-185 Chrystie St,Manhattan,10002,2025-07-28,1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
7006,Williamsburg Wharf A1 aka 482 Kent Avenue,Tenant Selection,482 Kent Ave,Brooklyn,11249,2025-07-28,Studio/1BR/2BR,LI,76351,122160,,Not Applied,,,
7080,55 Broad Street Apartments,Tenant Selection,55 BROAD STREET,Manhattan,10004,2025-08-04,Studio/1BR/2BR/3BR,VLI/LI,35641,122160,,Not Applied,,,
7092,300 East 50th Street Apartments,Tenant Selection,300 E 50th St,Manhattan,10022,2025-08-21,Studio/1BR/2BR/3BR,LI,76351,122160,,Not Applied,,,
7131,335 8th Avenue Apartments,Tenant Selection,335 8 AVENUE,Manhattan,10001,2025-08-26,Studio/1BR/2BR,LI,76351,122160,,Not Applied,,,
7214,81A Malcolm X Boulevard,Tenant Selection,81A Malcolm X Blvd,Brooklyn,11221,2025-09-12,1BR,LI,76351,122160,,Not Applied,,,
7212,554 West 46th Street Apartments,Tenant Selection,554 W 46th St,Manhattan,10036,2025-09-16,Studio/1BR/2BR,LI,76351,122160,,Not Applied,,,
7175,Inwood Living,Tenant Selection,3880 9 AVENUE,Manhattan,10034,2025-10-06,Studio/1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
7250,330 Melrose Street Apartments,Tenant Selection,330 Melrose Street,Brooklyn,11237,2025-10-24,Studio,VLI/LI,35641,122160,,Not Applied,,,
7178,570 Washington Street Senior Apartments,Tenant Selection,570 WASHINGTON STREET,Manhattan,10014,2025-10-27,Studio/1BR/2BR,VLI,35641,76350,,Not Applied,,,
7235,250 West 49th Street Apartments,Tenant Selection,250 W 49th St,Manhattan,10019,2025-11-03,Studio/1BR/2BR,LI,76351,122160,,Not Applied,,,
7226,1601 DeKalb,Tenant Selection,1601 DEKALB AVENUE,Brooklyn,11237,2025-11-05,Studio/1BR/2BR/3BR,VLI/LI,35641,122160,,Not Applied,,,
7284,313 East 17th Street Apartments,Tenant Selection,313 EAST 17 STREET,Manhattan,10003,2025-12-15,Studio/1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
7286,The East,Tenant Selection,644 EAST 14 STREET,Manhattan,10009,2025-12-16,Studio/1BR/2BR,LI,76351,122160,,Not Applied,,,
7298,The Andrea,Tenant Selection,280 8th Ave,Manhattan,10001,2026-01-13,Studio/1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
7401,107 South 6th Street Apartments,Tenant Selection,107 SOUTH 6 STREET,Brooklyn,11249,2026-01-22,Studio/1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
7237,Williamsburg Wharf A3,Tenant Selection,470 Kent Ave,Brooklyn,11249,2026-01-23,Studio/1BR/2BR,LI,76351,122160,,Not Applied,,,
7278,622 11th Avenue Apartments,Tenant Selection,622 11th Ave,Manhattan,10036,2026-01-26,Studio/1BR/2BR,LI,76351,122160,,Not Applied,,,
7369,The Sophia Apartments,Tenant Selection,5055 BROADWAY,Manhattan,10034,2026-01-27,1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
7393,449 Humboldt Street Apartments,Tenant Selection,449 HUMBOLDT STREET,Brooklyn,11211,2026-02-11,1BR,LI,76351,122160,,Not Applied,,,
5549,IMPACCT Myrtle Residences,Tenant Selection,778 MYRTLE AVENUE,Brooklyn,11206,2026-02-16,Studio/1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
7314,37th and 1st Apartments,Tenant Selection,650 1 AVENUE,Manhattan,10016,2026-02-18,Studio/1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
7326,11 Gerry Street Apartments,Tenant Selection,11 GERRY STREET,Brooklyn,11206,2026-03-04,1BR/2BR/3BR/4BR,VLI/LI,35641,122160,,Not Applied,,,
7438,107 Mott Street Apartments,Tenant Selection,107 Mott St,Manhattan,10013,2026-03-12,1BR,LI,76351,122160,,Not Applied,,,
7372,The Lotus,Tenant Selection,255 E 39th St,Manhattan,10016,2026-03-30,Studio/1BR/2BR,LI,76351,122160,,Not Applied,,,
7416,Morningside ANCP,Tenant Selection,321 WEST  116 STREET,Manhattan,10026,2026-04-13,2BR/3BR,LI,76351,122160,,Not Applied,,,
7416,Morningside ANCP,Tenant Selection,357 WEST 115 STREET,Manhattan,10026,2026-04-13,2BR/3BR,LI,76351,122160,,Not Applied,,,
7488,74 West 126th Street Apartments,Tenant Selection,74 WEST 126 STREET,Manhattan,10027,2026-04-20,Studio,VLI/LI,35641,122160,,Not Applied,,,
7456,Forte Living,Tenant Selection,205 E 110th St,Manhattan,10029,2026-04-27,Studio/1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
